# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 742.666 h/Mpc,
# number of wavenumbers equal to 414
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_tot              
       5.996413403334e-05      -5.261696313018e-04      -3.946819088461e-04      -3.946823673666e-04      -5.261609417674e-04      -3.947353461942e-04      -3.984318709362e-04       6.121735027140e-01       5.968402185804e-01      -1.654690823495e-10      -1.456933580951e-13      -1.762591066762e-10      -6.421194911061e-12 
       6.279015660546e-05      -5.769252707898e-04      -4.327596989596e-04      -4.327602502125e-04      -5.769148238480e-04      -4.328183311764e-04      -4.368712557329e-04       6.121724526374e-01       5.968395164317e-01      -1.989356161622e-10      -1.751572821209e-13      -2.119076613629e-10      -7.719892649205e-12 
       6.574936551816e-05      -6.325760630766e-04      -4.745110906551e-04      -4.745117534101e-04      -6.325635033020e-04      -4.745754292369e-04      -4.790190887838e-04       6.121713131084e-01       5.968387579868e-01      -2.391706025432e-10      -2.105869458159e-13      -2.547658861595e-10      -9.281245722769e-12 
       6.884803765030e-05      -6.935939256219e-04      -5.202904744886e-04      -5.202912712923e-04      -6.935788257564e-04      -5.203610789417e-04      -5.252331144576e-04       6.121700519563e-01       5.968379151230e-01      -2.875428684918e-10      -2.531794084252e-13      -3.062917850794e-10      -1.115837033432e-11 
       7.209274570091e-05      -7.604962787776e-04      -5.704864596168e-04      -5.704874175875e-04      -7.604781251291e-04      -5.705639473519e-04      -5.759056180021e-04       6.121686785551e-01       5.968370005344e-01      -3.456980164708e-10      -3.043903462619e-13      -3.682382203422e-10      -1.341512602305e-11 
       7.549037213080e-05      -8.338503453179e-04      -6.255251170357e-04      -6.255262687696e-04      -8.338285203142e-04      -6.256101657413e-04      -6.314666989637e-04       6.121671678171e-01       5.968359929251e-01      -4.156144184501e-10      -3.659562601486e-13      -4.427124736536e-10      -1.612828317914e-11 
       7.904812376114e-05      -9.142779873303e-04      -6.858736295105e-04      -6.858750141942e-04      -9.142517485854e-04      -6.859669855084e-04      -6.923879550932e-04       6.121655090177e-01       5.968348848938e-01      -4.996705644276e-10      -4.399726215393e-13      -5.322479136424e-10      -1.939013829812e-11 
       8.277354706016e-05      -1.002460952389e-03      -7.520442527788e-04      -7.520459175396e-04      -1.002429407313e-03      -7.521467388550e-04      -7.591864803365e-04       6.121636909382e-01       5.968336713733e-01      -6.007257102217e-10      -5.289623154931e-13      -6.398901549375e-10      -2.331164709673e-11 
       8.667454415012e-05      -1.099146620652e-03      -8.245986582740e-04      -8.246006597531e-04      -1.099108696255e-03      -8.247111804016e-04      -8.324292477337e-04       6.121617031417e-01       5.968323470145e-01      -7.222173871439e-10      -6.359522132706e-13      -7.693005786882e-10      -2.802620171396e-11 
       9.075938956889e-05      -1.205154280679e-03      -9.041526784487e-04      -9.041550847533e-04      -1.205108687041e-03      -9.042762345237e-04      -9.127378986228e-04       6.121595193497e-01       5.968308903946e-01      -8.682781630325e-10      -7.645798890824e-13      -9.248808319735e-10      -3.369416425027e-11 
